sr,Month,Domestic,Foreign,All tourists,estimated day ,Total
1,jan,185302,46739,232041,26581,258622
2,feb,131422,40632,172054,20683,192737
3,mar,176244,33864,201108,33316,234424
4,apr,171285,21495,192780,17728,210508
5,may,144763,27616,172379,24898,197277
6,jun,83191,9552,92743,10916,103659
7,jul,75363,4204,79567,7908,87475
8,aug,143272,6810,150082,9954,160036
9,sep,160899,9327,170216,12123,182339
10,oct,185227,24742,209951,17811,227762
11,nov,210447,54990,265437,26542,342133
12,dec,240448,68443,308891,33242,258622
,Total,1898853,348396,2247249,241720,2488951
